sentenceID,sentence,origin,destination,is_valid,difficulty,category,notes
1,yo ?,,,0,easy,no_intent,greetings
2,comment vas-tu,,,0,easy,no_intent,greetings
3,À bientôt,,,0,easy,no_intent,greetings
4,très bien et vous,,,0,easy,no_intent,greetings
5,Salut ça va ?,,,0,easy,no_intent,greetings
6,Au revoir !,,,0,easy,no_intent,greetings
7,Ravi de vous rencontrer,,,0,easy,no_intent,greetings
8,bonjour ?,,,0,easy,no_intent,greetings
9,Bonne nuit ?,,,0,easy,no_intent,greetings
10,Coucou,,,0,easy,no_intent,greetings
11,salut ça va ?,,,0,easy,no_intent,greetings
12,Bonne journée,,,0,easy,no_intent,greetings
13,Bonjour ?,,,0,easy,no_intent,greetings
14,Coucou ?,,,0,easy,no_intent,greetings
15,ravi de vous rencontrer ?,,,0,easy,no_intent,greetings
16,salut ?,,,0,easy,no_intent,greetings
17,Bonsoir !,,,0,easy,no_intent,greetings
18,bonjour,,,0,easy,no_intent,greetings
19,bonne soirée,,,0,easy,no_intent,greetings
20,salut,,,0,easy,no_intent,greetings
21,Bonjour !,,,0,easy,no_intent,greetings
22,Ça va bien merci !,,,0,easy,no_intent,greetings
23,Enchanté,,,0,easy,no_intent,greetings
24,Très bien et vous !,,,0,easy,no_intent,greetings
25,Bonjour,,,0,easy,no_intent,greetings
26,bonne nuit ?,,,0,easy,no_intent,greetings
27,Bonne journée ?,,,0,easy,no_intent,greetings
28,à plus tard ?,,,0,easy,no_intent,greetings
29,À plus tard,,,0,easy,no_intent,greetings
30,À demain ?,,,0,easy,no_intent,greetings
31,À demain,,,0,easy,no_intent,greetings
32,Bonsoir ?,,,0,easy,no_intent,greetings
33,Comment vas-tu !,,,0,easy,no_intent,greetings
34,Salut ça va,,,0,easy,no_intent,greetings
35,à bientôt ?,,,0,easy,no_intent,greetings
36,Yo ?,,,0,easy,no_intent,greetings
37,comment vas-tu ?,,,0,easy,no_intent,greetings
38,enchanté,,,0,easy,no_intent,greetings
39,À plus tard !,,,0,easy,no_intent,greetings
40,Ravi de vous rencontrer ?,,,0,easy,no_intent,greetings
41,au revoir,,,0,easy,no_intent,greetings
42,Au revoir,,,0,easy,no_intent,greetings
43,Au revoir ?,,,0,easy,no_intent,greetings
44,à bientôt,,,0,easy,no_intent,greetings
45,ça va bien merci ?,,,0,easy,no_intent,greetings
46,Enchanté ?,,,0,easy,no_intent,greetings
47,Bonne soirée,,,0,easy,no_intent,greetings
48,À demain !,,,0,easy,no_intent,greetings
49,À bientôt !,,,0,easy,no_intent,greetings
50,Hey salut,,,0,easy,no_intent,greetings
51,ravi de vous rencontrer,,,0,easy,no_intent,greetings
52,bonne nuit,,,0,easy,no_intent,greetings
53,Très bien et vous ?,,,0,easy,no_intent,greetings
54,coucou,,,0,easy,no_intent,greetings
55,salut ça va,,,0,easy,no_intent,greetings
56,Bonjour comment allez-vous,,,0,easy,no_intent,greetings
57,enchanté ?,,,0,easy,no_intent,greetings
58,bonsoir ?,,,0,easy,no_intent,greetings
59,Salut !,,,0,easy,no_intent,greetings
60,Bonne soirée ?,,,0,easy,no_intent,greetings
61,Salut ?,,,0,easy,no_intent,greetings
62,Bonne nuit !,,,0,easy,no_intent,greetings
63,bonne journée,,,0,easy,no_intent,greetings
64,Bonsoir,,,0,easy,no_intent,greetings
65,Yo,,,0,easy,no_intent,greetings
66,hey salut ?,,,0,easy,no_intent,greetings
67,Ravi de vous rencontrer !,,,0,easy,no_intent,greetings
68,yo,,,0,easy,no_intent,greetings
69,bonne soirée ?,,,0,easy,no_intent,greetings
70,hey salut,,,0,easy,no_intent,greetings
71,ça va bien merci,,,0,easy,no_intent,greetings
72,Comment vas-tu,,,0,easy,no_intent,greetings
73,Enchanté !,,,0,easy,no_intent,greetings
74,Yo !,,,0,easy,no_intent,greetings
75,à plus tard,,,0,easy,no_intent,greetings
76,bonjour comment allez-vous ?,,,0,easy,no_intent,greetings
77,Ça va bien merci,,,0,easy,no_intent,greetings
78,Bonjour comment allez-vous ?,,,0,easy,no_intent,greetings
79,bonsoir,,,0,easy,no_intent,greetings
80,Très bien et vous,,,0,easy,no_intent,greetings
81,au revoir ?,,,0,easy,no_intent,greetings
82,Hey salut ?,,,0,easy,no_intent,greetings
83,Comment vas-tu ?,,,0,easy,no_intent,greetings
84,Coucou !,,,0,easy,no_intent,greetings
85,bonne journée ?,,,0,easy,no_intent,greetings
86,quelle est la météo,,,0,easy,no_intent,general_questions
87,Pourquoi le ciel est bleu,,,0,easy,no_intent,general_questions
88,Quelle heure est-il,,,0,easy,no_intent,general_questions
89,comment allez-vous,,,0,easy,no_intent,general_questions
90,avez-vous des enfants ?,,,0,easy,no_intent,general_questions
91,Quel est votre nom !,,,0,easy,no_intent,general_questions
92,où habitez-vous,,,0,easy,no_intent,general_questions
93,Quel jour sommes-nous !,,,0,easy,no_intent,general_questions
94,pourquoi le ciel est bleu ?,,,0,easy,no_intent,general_questions
95,Comment ça marche !,,,0,easy,no_intent,general_questions
